Claims extracted from patent HUPD dataset,GPT-4 generated claims,Rating by Expert 1,Rating by Expert 2,Rating by Expert 3,Expert's mean score
"1. A cosmetic container having dual contents, comprising: a container body keeping a first material; and a pipette assembly combined with the container body, having a storage space for keeping a second material therein from the outside, including a piston, which presses the second material in the storage space into the container body when being operated by a user, and allowing the discharged second material and the first material to be mixed in the container body.","1. A cosmetic container having dual contents, comprising: a container body keeping a first material; and a pipette assembly combined with the container body, having a storage space for keeping a second material therein from the outside , including a piston, which presses the second material in the storage space into the container body when being operated by a user, and allowing the discharged second material and the first material to be mixed in the container body.",3,3,3,3.0
"1. An agricultural baler comprising: a baling chamber; pick-up for collecting crop material from a field and feeding it via conveyor into said baling chamber; for encircling the package with one or more strands of tying material thereby forming a completed bale; and bale discharge arranged at an outlet of the baling chamber for receiving said completed bale, the bale discharge comprising a first segment, one end of which is rotatably connected to the baling chamber, and an opposite end of which is rotatably connected to a second segment of the bale discharge such that the bale discharge is moveable between an extended operating position and a retracted transporting position, wherein the bale discharge further comprises a support structure for supporting, in said retracted position, a component of said second segment, wherein said support structure comprises a first protrusion provided for preventing, in said retracted position, rotation of said first segment with respect to said baler, wherein said support structure further comprises a second protrusion provided for preventing, in said retracted position, rotation of said second segment with respect to said first segment.","1. An agricultural baler comprising: a baling chamber; pick-up for collecting crop material from a field and feeding it via conveyor into said baling chamber; for encircling the package with one or more strands of tying material thereby forming a completed bale; and bale discharge arranged at an outlet of the baling chamber for receiving said completed bale, the bale discharge comprising a first segment, one end of which is rotatably connected to the baling chamber, and an opposite end of which is rotatably connected to a second segment of the bale discharge such that the bale discharge is moveable between an extended operating position and a retracted transporting position, wherein the bale discharge further comprises a support structure for supporting, in said retracted position, a component of said second segment, wherein said support structure comprises a first protrusion provided for preventing, in said retracted position, rotation of said first segment with respect to said baler, wherein said support structure further comprises a second protrusion provided for preventing, in said retracted position, rotation of said second segment with respect to said first segment.",4,4,4,4.0
"1. An X-ray CT apparatus comprising: an X-ray generation unit that irradiates X-rays to an object; an X-ray detector that detects the X-rays through the object; a correction processing unit that corrects an output signal value from the X-ray detector; and a reconstruction calculating unit that reconstructs an image on the basis of an output from the correction processing unit, wherein the X-ray detector includes arranged detection elements, and wherein the correction processing unit maintains an average value of output signal values of a plurality of predetermined detection elements centering on a focused detection element among the detection elements, and also reduces a variance of the output signal values of the plurality of predetermined detection elements centering on the focused detection element.","1. An X-ray CT apparatus comprising: an X-ray generation unit that irradiates X-rays to an object; an X-ray detector that detects the X-rays through the object; a correction processing unit that corrects an output signal value from the X-ray detector; and a reconstruction calculating unit that reconstructs an image on the basis of an output from the correction processing unit, wherein the X-ray detector includes arranged detection elements, and wherein the correction processing unit maintains an average value of output signal values of a plurality of predetermined detection elements centering on a focused detection element among the detection elements , and also reduces a variance of the output signal values of the plurality of predetermined detection elements centering on the focused detection element.",3,3,4,3.333333333
"1. An information processing device, comprising a host and a memory subsystem, wherein the host issues a write command or an erase command with tag information corresponding to data to the memory subsystem and comprises an information processing circuit configured to process the data, the memory subsystem comprises: a first memory storing management information for managing a second memory; the second memory having a larger size of a data erase unit than a size of a data write unit and configured to store the data; and a memory subsystem control circuit configured to write data on the same tag information in the same management unit and write data on the different tag information in the different management unit, based on the management information in which n times of the data erase unit (?n??is a natural number) is a management unit.","1. An information processing device, comprising a host and a data storage subsystem, wherein the host issues a write command or an erase command with tag information corresponding to data to the data storage subsystem and comprises an information processing circuit configured to process the data, the data storage subsystem comprises a first data storage storing management information for managing a second data storage the second data storage having a larger size of a data erase unit than a size of a data write unit and configured to store the data and a data storage subsystem control circuit configured to write data on the same tag information in the same management unit and write data on the different tag information in the different management unit, based on the management information in which n times of the data erase unit (?n??is a natural number) is a management unit.",2,3,3,2.666666667
"1. An input device comprising: an optical waveguide in a sheet form including an under cladding layer in a sheet form, a plurality of linear cores arranged in a lattice form on a surface of the under cladding layer, and an over cladding layer in a sheet form covering the cores; a light-emitting element connected to one end surface of the cores of the optical waveguide; a light-receiving element connected to the other end surface of the cores; a storage means for storing information; and a management information recognition means for recognizing management information, wherein light emitted from the light-emitting element passes through the cores of the optical waveguide and is received by the light-receiving element, wherein a surface part of the over cladding layer corresponding to part of the linear cores arranged in the lattice form of the optical waveguide serves as an input region, wherein a pressed position is specified as input information, based on a change in the amount of light propagating in the cores, when the input region is pressed at any position, wherein the storage means stores the specified input information therein, wherein part of the input region is defined as a specific region, and wherein the management information recognition means recognizes input information inputted by pressing the inside of the specific region as management information which is used for management of input information inputted by pressing part of the input region which lies outside the specific region.","1. An input device comprising an optical waveguide in a sheet form including an under cladding layer in a sheet form, a plurality of linear cores arranged in a lattice form on a surface of the under cladding layer, and an over cladding layer in a sheet form covering the cores a light-emitting element connected to one end surface of the cores of the optical waveguide a light-receiving element connected to the other end surface of the cores a storage means for storing information and a management information recognition means for recognizing management information, wherein light emitted from the light-emitting element passes through the cores of the optical waveguide and is received by the light-receiving element, wherein a surface part of the over cladding layer corresponding to part of the linear cores arranged in the lattice form of the optical waveguide serves as an input region, wherein a pressed position is specified as input information, based on a change in the amount of light propagating in the cores, when the input region is pressed at any position, wherein the storage means stores the specified input information therein, wherein part of the input region is defined as a specific region, and wherein the management information recognition means recognizes input information inputted by pressing the inside of the specific region as management information which is used for management of input information inputted by pressing part of the input region which lies outside the specific region.",3,3,3,3.0
"1. A breast imaging system comprising: an imaging apparatus with: an illumination source, a detector facing the illumination source, a breast support placed between the illumination source and the detector, a compression paddle substantially parallel to the breast support for compressing the breast of a patient placed on the support, the compression paddle being slidable between an upper position and an lower position relatively to the detector, a compression command coupled to the compression paddle and operatively displacing the compression paddle upon actuation, wherein the compression command is placed at a reachable distance from the patient, wherein the breast imaging system further comprises a feedback device giving feedback information about the image to obtain and/or the illumination dose to use and designed such that the feedback information is operatively perceivable by the patient, and wherein the feedback device is coupled to the compression paddle so that the feedback information varies according to the position of the compression paddle between the upper and lower end positions.","1. A breast imaging system comprising: an imaging apparatus with: an illumination source, a detector facing the illumination source, a breast support placed between the illumination source and the detector , a compression paddle substantially parallel to the breast support for compressing the breast of a patient placed on the support, the compression paddle being slidable between an upper position and an lower position relatively to the detector, a compression command coupled to the compression paddle and operatively displacing the compression paddle upon actuation, wherein the compression command is placed at a reachable distance from the patient, wherein the breast imaging system further comprises a feedback device giving feedback information about the image to obtain and/or the illumination dose to use and designed such that the feedback information is operatively perceivable by the patient, and wherein the feedback device is coupled to the compression paddle so that the feedback information varies according to the position of the compression paddle between the upper and lower end positions.",4,3,3,3.333333333
1. Apparatus for processing data comprising: processing circuitry configured to perform processing operations; and consumer energy interface circuitry coupled to said processing circuitry and configured to communicate energy management signals with energy management circuitry; wherein said energy management signals include: (i) a static power consumption signal indicative of a level of static power consumption of said apparatus independent of processing operations performed by said processing circuitry; and (ii) a dynamic power consumption signal indicative of a level of dynamic power consumption of said apparatus dependent upon processing operations performed by said apparatus.,1. Apparatus for processing data including processing circuitry configured to perform processing operations and consumer energy interface circuitry coupled to said processing circuitry and configured to communicate energy management signals with energy management circuitry wherein said energy management signals include (i) a static power consumption signal indicative of a level of static power consumption of said apparatus independent of processing operations performed by said processing circuitry and (ii) a dynamic power consumption signal indicative of a level of dynamic power consumption of said apparatus dependent upon processing operations performed by said apparatus.,4,4,4,4.0
"1. A tamper responsive sensor comprising: a carrier printed circuit board, carrier PCB, holding a mesh of one or more electrically conductive tracks, a pressure or force sensitive switch contact arranged on top of the carrier PCB and having first and second electrical contact connections, tamper detecting circuitry arranged at the carrier PCB and being powered via two electrical power lines and connected to one or more electrically conductive signal lines, wherein one of said power lines or one of said signal lines is electrically connected to the tamper detecting circuitry via a first tamper line holding the switch contact, and wherein one of said power lines or one of said signal lines is electrically connected to the tamper detecting circuitry via a second tamper line holding a conductive track of the carrier PCB mesh, thereby enabling the tamper detecting circuit to detect an interruption of the signal path through the first tamper line and/or an interruption of the of signal path through the second tamper line.","1. A tamper responsive sensor comprising: a carrier printed circuit board, carrier PCB, holding a mesh of one or more electrically conductive tracks, a pressure or force sensitive switch contact arranged on top of the carrier PCB and having first and second electrical contact connections, tamper detecting circuitry arranged at the carrier PCB and being powered via two electrical power lines and connected to one or more electrically conductive signal lines, wherein one of said power lines or one of said signal lines is electrically connected to the tamper detecting circuitry via a first tamper line holding the switch contact, and wherein one of said power lines or one of said signal lines is electrically connected to the tamper detecting circuitry via a second tamper line holding a conductive track of the carrier PCB mesh, thereby enabling the tamper detecting circuit to detect an interruption of the signal path through the first tamper line and/or an interruption of the of signal path through the second tamper line.",4,4,3,3.666666667
"1. A compound having Formula I or a pharmaceutically acceptable salt or hydrate thereof: wherein: ring A is an optionally substituted 5-6 member monocyclic aryl or monocyclic heteroaryl; and ring B is an optionally substituted 5-6 member monocyclic aryl or monocyclic heteroaryl; wherein: a. ring A and ring B are not both an optionally substituted 6 member monocyclic aryl; b. when ring A is unsubstituted pyridyl, then ring B is not phenyl optionally substituted with one to three groups independently selected from methyl, ethyl, t-butyl, methoxy, CH(OH)CH3, Cl, Br, SH, and CF3; c. when ring A is a 5-membered heteroaryl, then ring B is not phenyl optionally substituted with one to two groups independently selected from F, Cl, SO2CH3, C(O)OCH3, methyl, ethyl, t-butyl, methoxy, ethoxy, O-phenyl, CF3, OH, and NO2; d. when ring A is a 2,4-di-substituted 5-thiazolyl, then ring B is not substituted phenyl; e. the compound is not: (1) N2-2-pyridinyl-6-(3-pyridinyl)-1,3,5-triazine-2,4-diamine; (2) 6-(6-methoxy-3-pyridinyl)-N2-(4-methylphenyl)-1,3,5-triazine-2,4-diamine; (3) 6-(2-methoxy-3-pyridinyl)-N2-(4-methylphenyl)-1,3,5-triazine-2,4-diamine; (4) N2-(3-chlorophenyl)-6-(2-chloro-4-pyridinyl)-1,3,5-triazine-2,4-diamine; (5) 3-[[4-[4-amino-6-[(3-chlorophenyl)amino]-1,3,5-triazin-2-yl]-2-pyridinyl]amino]-1-propanol; (6) N-[3-[[4-amino-6-(2-methyl-4-pyrimidinyl)-1,3,5-triazin-2-yl]amino]-4-methylphenyl]-N??[4-chloro-3-(trifluoromethyl)phenyl]-urea; (7) N4,N4??diphenyl-[2,2??bi-1,3,5-triazine]-4,4??6,6??tetramine; (8) 6,6??(2,6-pyridinediyl)bis[N-phenyl-1,3,5-triazine-2,4-diamine; or (9) 6,6??(2,3-pyrazinediyl)bis[N-phenyl-1,3,5-triazine-2,4-diamine.","1. A compound having Formula I or a pharmaceutically acceptable salt or hydrate thereof: wherein: ring A is an optionally substituted 5-6 member monocyclic aryl or monocyclic heteroaryl; and ring B is an optionally substituted 5-6 member monocyclic aryl or monocyclic heteroaryl; wherein: a. ring A and ring B are not both an optionally substituted 6 member monocyclic aryl; b. when ring A is unsubstituted pyridyl, then ring B is not phenyl optionally substituted with one to three groups independently selected from methyl , ethyl , t-butyl, methoxy, CHCH3, Cl, Br, SH, and CF3; c. when ring A is a 5-membered heteroaryl, then ring B is not phenyl optionally substituted with one to two groups independently selected from F, Cl, SO2CH3, COCH3, methyl, ethyl, t-butyl, methoxy, ethoxy, O-phenyl, CF3, OH, and NO2; d. when ring A is a 2,4-di-substituted 5-thiazolyl, then ring B is not substituted phenyl; e. the compound is not:  N2-2-pyridinyl-6--1,3,5-triazine-2,4-diamine;  6--N2--1,3,5-triazine-2,4-diamine;  6--N2--1,3,5-triazine-2,4-diamine;  N2--6--1,3,5-triazine-2,4-diamine;  3-[[4-[4-amino-6-[amino]-1,3,5-triazin-2-yl]-2-pyridinyl]amino]-1-propanol;  N-[3-[[4-amino-6--1,3,5-triazin-2-yl]amino]-4-methylphenyl]-N??[4-chloro-3-phenyl]-urea;  N4,N4??diphenyl-[2,2??bi-1,3,5-triazine]-4,4??6,6??tetramine;  6,6??bis[N-phenyl-1,3,5-triazine-2,4-diamine; or  6,6??bis[N-phenyl-1,3,5-triazine-2,4-diamine.",3,2,3,2.666666667
"1. A memory module for response control, the memory module comprising: an interface to a memory bus that complies with a data transfer standard, wherein the memory bus communicates with a memory controller; an interface to a non-compliant memory technology that does not comply with the data transfer standard; a command monitoring circuit to analyze a command from the memory controller to the non-compliant memory technology, wherein the command monitoring circuit determines whether the command has been or will be completed by the non-compliant memory circuit within a defined amount of time within which a command should be completed according to the data transfer standard; and an error causing circuit that signals to the memory controller or an operating system when the command has not or will not complete within the defined amount of time, wherein the error causing circuit uses a parity bit or error correcting code (ECC) bits of the interface to a memory bus to perform the signaling.","1. A memory module for response control, the memory module comprising: an interface to a memory bus that complies with a data transfer standard, wherein the memory bus communicates with a memory controller; an interface to a non-compliant memory technology that does not comply with the data transfer standard; a command monitoring circuit to analyze a command from the memory controller to the non-compliant memory technology, wherein the command monitoring circuit determines whether the command has been or will be completed by the non-compliant memory circuit within a defined amount of time within which a command should be completed according to the data transfer standard; and an error causing circuit that signals to the memory controller or an operating system when the command has not or will not complete within the defined amount of time, wherein the error causing circuit uses a parity bit or error correcting code (ECC) bits of the interface to a memory bus to perform the signaling.",4,4,4,4.0
"1. A voice search system comprising: a call search database that stores, for each of a reception channel and a transmission channel of each of a plurality of pieces of recorded call voice data, voice section sequences in association with predetermined keywords and time information; and a processor configured to search the call search database based on an input search keyword, and obtain a voice section sequence that contains the search keyword, wherein the processor is configured to: obtain, as a keyword search result, a voice section sequence that contains the search keyword and an appearance time of the voice section sequence from the plurality of pieces of recorded call voice data, obtain, based on the appearance time in the keyword search result, a start time of a voice section sequence of another channel immediately before the voice section sequence obtained as the keyword search result, and determine the start time as a playback start position for playing back the recorded voice, and output the playback start position as a voice search result.","1. A voice search system comprising a call search database that stores, for each of a reception channel and a transmission channel of each of a plurality of pieces of recorded call voice data, voice section sequences in association with predetermined keywords and time information and a processor configured to search the call search database based on an input search keyword, and obtain a voice section sequence that contains the search keyword, wherein the processor is configured to obtain, as a keyword search result, a voice section sequence that contains the search keyword and an appearance time of the voice section sequence from the plurality of pieces of recorded call voice data, obtain, based on the appearance time in the keyword search result, a start time of a voice section sequence of another channel immediately before the voice section sequence obtained as the keyword search result, and determine the start time as a playback start position for playing back the recorded voice, and output the playback start position as a voice search result. Additional random text unrelated to core claim.",4,4,4,4.0
"1. Monolayer tablet for use in the treatment of tuberculosis comprising a mixture of: granules comprising isoniazid, pyrazinamide, ethambutol or a pharmaceutically acceptable salt thereof and at least one granulation binder, rifampicine in powder form, extragranular excipients, wherein all of the granules have a particle size that is less than 0.599 mm, preferably less than 0.5 mm, more preferably less than 0.422 mm.","1. Monolayer tablet for use in the treatment of tuberculosis comprising a mixture of: granules comprising isoniazid, pyrazinamide, ethambutol or a pharmaceutically acceptable salt thereof and at least one granulation binder , rifampicine in powder form, extragranular excipients, wherein all of the granules have a particle size that is less than 0.599 mm, preferably less than 0.5 mm, more preferably less than 0.422 mm.",3,3,3,3.0
"1. A method for inserting a vertebral stabilization member percutaneously, comprising: attaching a first sleeve having a sleeve sidewall to a first bone anchor; attaching a second sleeve having a sleeve sidewall to a second bone anchor; coupling a rod member to an insertion device, the rod member extending from a proximal end to a distal end along a rod axis, the insertion device extending from a proximal end to a distal end along a longitudinal axis, the insertion device comprising a first member and a second member, wherein the first member is linearly translatable, the rod member is linkingly engaged to the first member at a first axial location along the rod member and rotatably engaged to the second member at a second axial location along the rod member that is axially offset from the first axial location; inserting the insertion device into the first or second sleeve; and pivoting the rod member from a first orientation substantially parallel to the longitudinal axis of the insertion device to a second orientation substantially perpendicular to the longitudinal axis of the insertion device such that the rod member is positioned between the first and second bone anchors.","1. A method for inserting a vertebral stabilization member percutaneously, comprising: attaching a first sleeve having a sleeve sidewall to a first bone anchor; attaching a second sleeve having a sleeve sidewall to a second bone anchor; coupling a rod member to an insertion device, the rod member extending from a proximal end to a distal end along a rod axis, the insertion device extending from a proximal end to a distal end along a longitudinal axis, the insertion device comprising a first member and a second member, wherein the first member is linearly translatable, the rod member is linkingly engaged to the first member at a first axial location along the rod member and rotatably engaged to the second member at a second axial location along the rod member that is axially offset from the first axial location; inserting the insertion device into the first or second sleeve; and pivoting the rod member from a first orientation substantially parallel to the longitudinal axis of the insertion device to a second orientation substantially perpendicular to the longitudinal axis of the insertion device such that the rod member is positioned between the first and second bone anchors.",4,4,4,4.0
"1. A biometric sensor system configured to measure at least one physiological parameter, comprising: a first device comprising a generally flat Floormat configured to rest stably on a generally flat surface and to support the weight of a user standing thereon, the Floormat including: a weight-measuring system comprising at least one load cell and an amplifier system configured to measure a time-dependent load-cell voltage from at least one load cell and to process the time-dependent load-cell voltage to determine a current time-dependent load-cell waveform; and a first electrode disposed at an upper surface of the Floormat and in position to make contact with the sole of one of the user's feet when the user stands on the Floormat; and a second device comprising a Handheld Sensor configured to be supported at a region of one of the user's hands, the Handheld Sensor: 1) including a second electrode disposed in position to make contact with skin in the region of the user's hand when the Handheld Sensor is supported thereat; and 2) being electrically connected to the Floormat via a cable having one or more electrical conductors disposed therein; an analog system configured to receive biometric signals from the first electrode and from the second electrode and to process the biometric signals to generate a current ECG waveform, the analog system being located in one of the first and second devices and the electrode disposed in the other device being electrically connected to the analog system by means of said one or more electrical conductors; and a processing system configured to receive the current time-dependent load-cell waveform from the Floormat and the current ECG waveform from the analog system and to process the current load-cell waveform and the current ECG waveform, wherein the processing system comprises: 1) a computer memory configured to store therein historical ECG waveform data corresponding to a plurality of users who have stood on the Floormat; and 2) computer code configured to first identify a pool of potential users that could be standing on the Floormat based on a current weight value and then to compare the current ECG waveform against the historical ECG waveform data for the pool of potential users to identify a given user standing on the Floormat.","1. A biometric sensor system configured to measure at least one physiological parameter, comprising: a first device comprising a generally flat Floormat configured to rest stably on a generally flat surface and to support the weight of a user standing thereon, the Floormat including: a weight-measuring system comprising at least one load cell and an amplifier system configured to measure a time-dependent load-cell voltage from at least one load cell and to process the time-dependent load-cell voltage to determine a current time-dependent load-cell waveform; and a first electrode disposed at an upper surface of the Floormat and in position to make contact with the sole of one of the user's feet when the user stands on the Floormat; and a second device comprising a Handheld Sensor configured to be supported at a region of one of the user's hands , the Handheld Sensor: 1) including a second electrode disposed in position to make contact with skin in the region of the user's hand when the Handheld Sensor is supported thereat; and 2) being electrically connected to the Floormat via a cable having one or more electrical conductors disposed therein; an analog system configured to receive biometric signals from the first electrode and from the second electrode and to process the biometric signals to generate a current ECG waveform, the analog system being located in one of the first and second devices and the electrode disposed in the other device being electrically connected to the analog system by means of said one or more electrical conductors; and a processing system configured to receive the current time-dependent load-cell waveform from the Floormat and the current ECG waveform from the analog system and to process the current load-cell waveform and the current ECG waveform, wherein the processing system comprises: 1) a computer memory configured to store therein historical ECG waveform data corresponding to a plurality of users who have stood on the Floormat; and 2) computer code configured to first identify a pool of potential users that could be standing on the Floormat based on a current weight value and then to compare the current ECG waveform against the historical ECG waveform data for the pool of potential users to identify a given user standing on the Floormat.",3,3,3,3.0
"1. A composition comprising: (i) a bis-mesylate salt of a compound of Formula I: or a hydrate thereof, and (ii) at least one pharmaceutically acceptable carrier.","1. A composition comprising:  a bis-mesylate salt of a compound of Formula I: or a hydrate thereof, and  at least one pharmaceutically acceptable carrier.",3,3,3,3.0
"1. A closure device comprising: a first closure element, a second closure element, which can be arranged on the first closure element in a fixing direction and which is connected to the first closure element in a closed state, and at least one actuating element, which is movably arranged on the second closure element, wherein at least one of the closure elements has a receptacle into which the other closure element can be shoved at least partially, wherein the second closure element in the closed state is held on the first closure element via the actuating element and for this the second closure element interacts with the actuating element such that, in a loaded state, when a force is acting on the second closure element relative to the first closure element along the fixing direction, the actuating element is firmly connected to the first closure element and holds the second closure element on the first closure element, while in an unloaded state the second closure element can be loosened from the first closure element by activating of the actuating element, wherein the actuating element has two locking segments, which are spatially separated from each other and at least partly elastic, and an actuating segment connecting the locking segments to each other, and the actuating element bears with the locking segments against the first closure element, in order to hold the second closure element on the first closure element, and the locking segments can be loosened together from the first closure element by activating the actuating element on the actuating segment, and wherein in the connected state of the two closure elements, the at least two locking segments joined together by the actuating segment inside the receptacle respectively bear against a retaining segment of the first closure element, extending inside the receptacle, in order to hold the second closure element on the first closure element.","1. A closure device comprising: a first closure element, a second closure element, which can be arranged on the first closure element in a fixing direction and which is connected to the first closure element in a closed state , and at least one actuating element, which is movably arranged on the second closure element, wherein at least one of the closure elements has a receptacle into which the other closure element can be shoved at least partially, wherein the second closure element in the closed state is held on the first closure element via the actuating element and for this the second closure element interacts with the actuating element such that, in a loaded state, when a force is acting on the second closure element relative to the first closure element along the fixing direction, the actuating element is firmly connected to the first closure element and holds the second closure element on the first closure element, while in an unloaded state the second closure element can be loosened from the first closure element by activating of the actuating element, wherein the actuating element has two locking segments, which are spatially separated from each other and at least partly elastic, and an actuating segment connecting the locking segments to each other, and the actuating element bears with the locking segments against the first closure element, in order to hold the second closure element on the first closure element, and the locking segments can be loosened together from the first closure element by activating the actuating element on the actuating segment, and wherein in the connected state of the two closure elements, the at least two locking segments joined together by the actuating segment inside the receptacle respectively bear against a retaining segment of the first closure element, extending inside the receptacle, in order to hold the second closure element on the first closure element.",3,3,3,3.0
"1. A merchandising system for a displaying a plurality of products, the system comprising: a base including a first product-supporting surface, the first product-supporting surface of the base defining a longitudinal axis; and a product tray disposed adjacent a proximal portion of the base, the product tray including a second product-supporting surface and being pivotal with respect to the base.","1. A merchandising system for a displaying a plurality of products, the system comprising: a base including a first product-supporting surface, the first product-supporting surface of the base defining a longitudinal axis; and a product tray disposed adjacent a proximal portion of the base , the product tray including a second product-supporting surface and being pivotal with respect to the base.",5,3,3,3.666666667
"1. A fluid transfer device or connection, comprising: a fluid transfer tip, the fluid transfer tip comprising a tapered friction fitting for a corresponding hub; a lever member pivotally mounted to move relative to the fluid transfer tip; and a screw thread mounted on the lever member to enable a hub to be connected to the tip by a screw fit in addition to the friction fitting; wherein the lever member is resiliently biased so that the screw thread is positioned to form a screw fit with the hub; and wherein the hub can be disconnected by pivoting the lever member against the resilient bias to release the screw fit with the hub and to subsequently release the hub from the friction fitting.","1. A fluid transfer device or connection, comprising: a fluid transfer tip, the fluid transfer tip comprising a tapered friction fitting for a corresponding hub; a lever member pivotally mounted to move relative to the fluid transfer tip; and a screw thread mounted on the lever member to enable a hub to be connected to the tip by a screw fit in addition to the friction fitting; wherein the lever member is resiliently biased so that the screw thread is positioned to form a screw fit with the hub; and wherein the hub can be disconnected by pivoting the lever member against the resilient bias to release the screw fit with the hub and to subsequently release the hub from the friction fitting.",3,3,3,3.0
"1. A method of treating tissue in a patient, the method comprising: identifying a target tissue; inserting at least one energy delivery probe into or near the target tissue, the energy delivery probe comprising at least a first electrode and a second electrode, wherein each electrode is independently selectively activatable; an insulator coaxially surrounding the probe, the insulator positioned between the first electrode and the second electrode; infusing a fluid through the probe; activating the first electrode to deliver an electrical energy to the second electrode; delivering energy between the first electrode and the second electrode; switching the activation of the electrodes such that the second electrode is activated to deliver the electrical energy to the first electrode; delivering electrical energy between the second electrode and the first electrode; and forming an ablation zone.","1. A method of treating tissue in a patient, the method comprising: identifying a target tissue; inserting at least one energy delivery probe into or near the target tissue, the energy delivery probe comprising at least a first electrode and a second electrode , wherein each electrode is independently selectively activatable; an insulator coaxially surrounding the probe, the insulator positioned between the first electrode and the second electrode; infusing a fluid through the probe; activating the first electrode to deliver an electrical energy to the second electrode; delivering energy between the first electrode and the second electrode; switching the activation of the electrodes such that the second electrode is activated to deliver the electrical energy to the first electrode; delivering electrical energy between the second electrode and the first electrode; and forming an ablation zone.",3,3,3,3.0
"1. A dispersion comprising: a lipid peptide type compound in which a peptide portion formed by repetition of at least two or more identical or different amino acids is bonded to a lipid portion including a C10-24 aliphatic group; a dissolution accelerator having, in molecules thereof, a hydrophilic portion and a hydrophobic portion, the hydrophilic portion having a betaine structure; and water.","1. A dispersion comprising: a lipid peptide type compound in which a peptide portion formed by repetition of at least two or more identical or different amino acids is bonded to a lipid portion including a C10-24 aliphatic group; a dissolution accelerator having, in molecules thereof, a hydrophilic portion and a hydrophobic portion , the hydrophilic portion having a betaine structure; and water.",4,3,4,3.666666667
"1. An apparatus, comprising a base member including an interface member and a first binge; a support member detachably coupled to the base member at the interface member, the support member positionable to form a first angle with the base member based on a first rotational position of the first hinge; and a display member rotatably coupled to the support member at a second hinge, the display member positionable to form a second angle with the support member based on a second rotational position of the second hinge.","1. An apparatus, comprising a base member including an interface member and a first binge a support member detachably coupled to the base member at the interface member, the support member positionable to form a first angle with the base member based on a first rotational position of the first hinge and a display member rotatably coupled to the support member at a second hinge, the display member positionable to form a second angle with the support member based on a second rotational position of the second hinge. Additional random text unrelated to core claim.",3,3,3,3.0
"1. A computing system comprising: a plurality of processing circuits, comprising at least a first processing circuit and a second processing circuit; and a storage device, shared between at least the first processing circuit and the second processing circuit; wherein the first processing circuit is arranged to perform a whole cache flush operation to prepare exchange data in the storage device, and the second processing circuit is arranged to get the exchange data from the storage device.","1. A computing system comprising a plurality of processing circuits, comprising at least a first processing circuit and a second processing circuit and a storage device, shared between at least the first processing circuit and the second processing circuit wherein the first processing circuit is arranged to perform a whole cache flush operation to prepare exchange data in the storage device, and the second processing circuit is arranged to get the exchange data from the storage device.",3,3,3,3.0
"1. A power toothbrush, comprising: an elongated housing open at a proximal end; a frame disposed within the housing; a rechargeable battery; a control circuit in electrical communication with the battery; and a charging coil bobbin disposed at the housing proximal end, wherein the housing and charging coil bobbin are fixedly engaged together by means of slots or tabs on an interior surface of the housing near the proximal end and corresponding tabs or slots disposed on the charging coll bobbin and wherein the charging coil bobbin is further disposed in resilient contact with the frame.","1. A power toothbrush, comprising: an elongated housing open at a proximal end; a frame disposed within the housing; a rechargeable battery; a control circuit in electrical communication with the battery; and a charging coil bobbin disposed at the housing proximal end, wherein the housing and charging coil bobbin are fixedly engaged together by means of slots or tabs on an interior surface of the housing near the proximal end and corresponding tabs or slots disposed on the charging coll bobbin and wherein the charging coil bobbin is further disposed in resilient contact with the frame.",3,3,3,3.0
"1. A system for measuring a pulse transit time value from a patient, comprising: a base comprising a bottom surface configured to rest on or near a substantially horizontal surface, and a top surface configured to receive at least one of the patient's feet; an electrical impedance system connected to the top surface, the electrical impedance system comprising at least four electrodes, at least one of which is configured to inject an electrical current into the patient's feet, and at least one of which is configured to measure a first set of signals induced by the electrical current and representative of an impedance plethysmogram; a heart rate monitoring system connected to the top surface and comprising at least two electrodes connected to a differential amplifier, the differential amplifier configured to measure a second set of signals representative of a cardiac rhythm from the patient; and a processing system in electrical contact with the electrical impedance system and the heart rate monitoring system, and configured to: 1) receive the first signals from the electrical impedance system and convert them into a set of impedance values; 2) analyze the set of impedance values to determine a first time value indicating a first pulsatile component; 3) receive the second set of signals from the heart rate monitoring system and convert them into a set of cardiac rhythm values; 4) analyze the set of cardiac rhythm values to determine a second pulsatile component; and 5) collectively process the first and second pulsatile components to determine the pulse transit time.","1. A system for measuring a pulse transit time value from a patient, comprising: a base comprising a bottom surface configured to rest on or near a substantially horizontal surface, and a top surface configured to receive at least one of the patient's feet; an electrical impedance system connected to the top surface, the electrical impedance system comprising at least four electrodes, at least one of which is configured to inject an electrical current into the patient's feet, and at least one of which is configured to measure a first set of signals induced by the electrical current and representative of an impedance plethysmogram; a heart rate monitoring system connected to the top surface and comprising at least two electrodes connected to a differential amplifier, the differential amplifier configured to measure a second set of signals representative of a cardiac rhythm from the patient; and a processing system in electrical contact with the electrical impedance system and the heart rate monitoring system, and configured to: 1) receive the first signals from the electrical impedance system and convert them into a set of impedance values; 2) analyze the set of impedance values to determine a first time value indicating a first pulsatile component; 3) receive the second set of signals from the heart rate monitoring system and convert them into a set of cardiac rhythm values; 4) analyze the set of cardiac rhythm values to determine a second pulsatile component; and 5) collectively process the first and second pulsatile components to determine the pulse transit time.",4,4,4,4.0
